Index,Entry,OM,SL,UT SL,Entry,OM,SL,UT SL,Entry,OM,SL,UT SL,Entry,OM,SL,UT SL,Entry,OM,SL,UT SL,Entry,OM,SL,UT SL
NIFTY,09:16:00,ATM+1,100,TTC,10:02:00,ATMS+1,75,TTC,11:02:00,ATM,100,TTC,12:02:00,ATMS-1,40,TTC,13:02:00,ATMS-1,100,TTC,14:02:00,ATMS-1,75,TTC
NIFTY,09:17:00,ATM+1,100,TTC,10:04:00,ATMS+1,75,TTC,11:04:00,ATM,100,TTC,12:04:00,ATMS-1,40,TTC,13:04:00,ATMS-1,100,TTC,14:04:00,ATMS-1,75,TTC
NIFTY,09:18:00,ATM+1,100,TTC,10:06:00,ATMS+1,75,TTC,11:06:00,ATM,100,TTC,12:06:00,ATMS-1,40,TTC,13:06:00,ATMS-1,100,TTC,14:06:00,ATMS-1,75,TTC
NIFTY,09:19:00,ATM+1,100,TTC,10:08:00,ATMS+1,75,TTC,11:08:00,ATM,100,TTC,12:08:00,ATMS-1,40,TTC,13:08:00,ATMS-1,100,TTC,14:08:00,ATMS-1,75,TTC
NIFTY,09:20:00,ATM+1,100,TTC,10:10:00,ATMS+1,75,TTC,11:10:00,ATM,100,TTC,12:10:00,ATMS-1,40,TTC,13:10:00,ATMS-1,100,TTC,14:10:00,ATMS-1,75,TTC
NIFTY,09:21:00,ATM+1,100,TTC,10:12:00,ATMS+1,75,TTC,11:12:00,ATM,100,TTC,12:12:00,ATMS-1,40,TTC,13:12:00,ATMS-1,100,TTC,14:12:00,ATMS-1,75,TTC
NIFTY,09:22:00,ATM+1,100,TTC,10:14:00,ATMS+1,75,TTC,11:14:00,ATM,100,TTC,12:14:00,ATMS-1,40,TTC,13:14:00,ATMS-1,100,TTC,14:14:00,ATMS-1,75,TTC
NIFTY,09:23:00,ATM+1,100,TTC,10:16:00,ATMS+1,75,TTC,11:16:00,ATM,100,TTC,12:16:00,ATMS-1,40,TTC,13:16:00,ATMS-1,100,TTC,14:16:00,ATMS-1,75,TTC
NIFTY,09:24:00,ATM+1,100,TTC,10:18:00,ATMS+1,75,TTC,11:18:00,ATM,100,TTC,12:18:00,ATMS-1,40,TTC,13:18:00,ATMS-1,100,TTC,14:18:00,ATMS-1,75,TTC
NIFTY,09:25:00,ATM+1,100,TTC,10:20:00,ATMS+1,75,TTC,11:20:00,ATM,100,TTC,12:20:00,ATMS-1,40,TTC,13:20:00,ATMS-1,100,TTC,14:20:00,ATMS-1,75,TTC
NIFTY,09:26:00,ATM+1,100,TTC,10:22:00,ATMS+1,75,TTC,11:22:00,ATM,100,TTC,12:22:00,ATMS-1,40,TTC,13:22:00,ATMS-1,100,TTC,14:22:00,ATMS-1,75,TTC
NIFTY,09:27:00,ATM+1,100,TTC,10:24:00,ATMS+1,75,TTC,11:24:00,ATM,100,TTC,12:24:00,ATMS-1,40,TTC,13:24:00,ATMS-1,100,TTC,14:24:00,ATMS-1,75,TTC
NIFTY,09:28:00,ATM+1,100,TTC,10:26:00,ATMS+1,75,TTC,11:26:00,ATM,100,TTC,12:26:00,ATMS-1,40,TTC,13:26:00,ATMS-1,100,TTC,14:26:00,ATMS-1,75,TTC
NIFTY,09:29:00,ATM+1,100,TTC,10:28:00,ATMS+1,75,TTC,11:28:00,ATM,100,TTC,12:28:00,ATMS-1,40,TTC,13:28:00,ATMS-1,100,TTC,14:28:00,ATMS-1,75,TTC
NIFTY,09:30:00,ATM+1,100,TTC,10:30:00,ATMS+1,75,TTC,11:30:00,ATM,100,TTC,12:30:00,ATMS-1,40,TTC,13:30:00,ATMS-1,100,TTC,14:30:00,ATMS-1,75,TTC
NIFTY,09:31:00,ATM+1,100,TTC,10:32:00,ATMS+1,75,TTC,11:32:00,ATM,100,TTC,12:32:00,ATMS-1,40,TTC,13:32:00,ATMS-1,100,TTC,14:32:00,ATMS-1,75,TTC
NIFTY,09:32:00,ATM+1,100,TTC,10:34:00,ATMS+1,75,TTC,11:34:00,ATM,100,TTC,12:34:00,ATMS-1,40,TTC,13:34:00,ATMS-1,100,TTC,14:34:00,ATMS-1,75,TTC
NIFTY,09:34:00,ATM+1,100,TTC,10:36:00,ATMS+1,75,TTC,11:36:00,ATM,100,TTC,12:36:00,ATMS-1,40,TTC,13:36:00,ATMS-1,100,TTC,14:36:00,ATMS-1,75,TTC
NIFTY,09:36:00,ATM+1,100,TTC,10:38:00,ATMS+1,75,TTC,11:38:00,ATM,100,TTC,12:38:00,ATMS-1,40,TTC,13:38:00,ATMS-1,100,TTC,14:38:00,ATMS-1,75,TTC
NIFTY,09:38:00,ATM+1,100,TTC,10:40:00,ATMS+1,75,TTC,11:40:00,ATM,100,TTC,12:40:00,ATMS-1,40,TTC,13:40:00,ATMS-1,100,TTC,14:40:00,ATMS-1,75,TTC
NIFTY,09:40:00,ATM+1,100,TTC,10:42:00,ATMS+1,75,TTC,11:42:00,ATM,100,TTC,12:42:00,ATMS-1,40,TTC,13:42:00,ATMS-1,100,TTC,14:42:00,ATMS-1,75,TTC
NIFTY,09:42:00,ATM+1,100,TTC,10:44:00,ATMS+1,75,TTC,11:44:00,ATM,100,TTC,12:44:00,ATMS-1,40,TTC,13:44:00,ATMS-1,100,TTC,14:44:00,ATMS-1,75,TTC
NIFTY,09:44:00,ATM+1,100,TTC,10:46:00,ATMS+1,75,TTC,11:46:00,ATM,100,TTC,12:46:00,ATMS-1,40,TTC,13:46:00,ATMS-1,100,TTC,14:46:00,ATMS-1,75,TTC
NIFTY,09:46:00,ATM+1,100,TTC,10:48:00,ATMS+1,75,TTC,11:48:00,ATM,100,TTC,12:48:00,ATMS-1,40,TTC,13:48:00,ATMS-1,100,TTC,14:48:00,ATMS-1,75,TTC
NIFTY,09:48:00,ATM+1,100,TTC,10:50:00,ATMS+1,75,TTC,11:50:00,ATM,100,TTC,12:50:00,ATMS-1,40,TTC,13:50:00,ATMS-1,100,TTC,14:50:00,ATMS-1,75,TTC
NIFTY,09:50:00,ATM+1,100,TTC,10:52:00,ATMS+1,75,TTC,11:52:00,ATM,100,TTC,12:52:00,ATMS-1,40,TTC,13:52:00,ATMS-1,100,TTC,14:52:00,ATMS-1,75,TTC
NIFTY,09:52:00,ATM+1,100,TTC,10:54:00,ATMS+1,75,TTC,11:54:00,ATM,100,TTC,12:54:00,ATMS-1,40,TTC,13:54:00,ATMS-1,100,TTC,14:54:00,ATMS-1,75,TTC
NIFTY,09:54:00,ATM+1,100,TTC,10:56:00,ATMS+1,75,TTC,11:56:00,ATM,100,TTC,12:56:00,ATMS-1,40,TTC,13:56:00,ATMS-1,100,TTC,14:56:00,ATMS-1,75,TTC
NIFTY,09:56:00,ATM+1,100,TTC,10:58:00,ATMS+1,75,TTC,11:58:00,ATM,100,TTC,12:58:00,ATMS-1,40,TTC,13:58:00,ATMS-1,100,TTC,14:58:00,ATMS-1,75,TTC
NIFTY,09:58:00,ATM+1,100,TTC,11:00:00,ATMS+1,75,TTC,12:00:00,ATM,100,TTC,13:00:00,ATMS-1,40,TTC,14:00:00,ATMS-1,100,TTC,15:00:00,ATMS-1,75,TTC
SENSEX,09:15:00,ATMS-1,40,TTC,10:02:00,ATMS-1,40,TTC,11:02:00,ATMS-1,50,TTC,12:02:00,ATMS-1,60,TTC,13:02:00,ATMS-1,70,TTC,14:02:00,ATMS-1,75,TTC
SENSEX,09:16:00,ATMS-1,40,TTC,10:04:00,ATMS-1,40,TTC,11:04:00,ATMS-1,50,TTC,12:04:00,ATMS-1,60,TTC,13:04:00,ATMS-1,70,TTC,14:04:00,ATMS-1,75,TTC
SENSEX,09:17:00,ATMS-1,40,TTC,10:06:00,ATMS-1,40,TTC,11:06:00,ATMS-1,50,TTC,12:06:00,ATMS-1,60,TTC,13:06:00,ATMS-1,70,TTC,14:06:00,ATMS-1,75,TTC
SENSEX,09:18:00,ATMS-1,40,TTC,10:08:00,ATMS-1,40,TTC,11:08:00,ATMS-1,50,TTC,12:08:00,ATMS-1,60,TTC,13:08:00,ATMS-1,70,TTC,14:08:00,ATMS-1,75,TTC
SENSEX,09:19:00,ATMS-1,40,TTC,10:10:00,ATMS-1,40,TTC,11:10:00,ATMS-1,50,TTC,12:10:00,ATMS-1,60,TTC,13:10:00,ATMS-1,70,TTC,14:10:00,ATMS-1,75,TTC
SENSEX,09:20:00,ATMS-1,40,TTC,10:12:00,ATMS-1,40,TTC,11:12:00,ATMS-1,50,TTC,12:12:00,ATMS-1,60,TTC,13:12:00,ATMS-1,70,TTC,14:12:00,ATMS-1,75,TTC
SENSEX,09:21:00,ATMS-1,40,TTC,10:14:00,ATMS-1,40,TTC,11:14:00,ATMS-1,50,TTC,12:14:00,ATMS-1,60,TTC,13:14:00,ATMS-1,70,TTC,14:14:00,ATMS-1,75,TTC
SENSEX,09:22:00,ATMS-1,40,TTC,10:16:00,ATMS-1,40,TTC,11:16:00,ATMS-1,50,TTC,12:16:00,ATMS-1,60,TTC,13:16:00,ATMS-1,70,TTC,14:16:00,ATMS-1,75,TTC
SENSEX,09:23:00,ATMS-1,40,TTC,10:18:00,ATMS-1,40,TTC,11:18:00,ATMS-1,50,TTC,12:18:00,ATMS-1,60,TTC,13:18:00,ATMS-1,70,TTC,14:18:00,ATMS-1,75,TTC
SENSEX,09:24:00,ATMS-1,40,TTC,10:20:00,ATMS-1,40,TTC,11:20:00,ATMS-1,50,TTC,12:20:00,ATMS-1,60,TTC,13:20:00,ATMS-1,70,TTC,14:20:00,ATMS-1,75,TTC
SENSEX,09:25:00,ATMS-1,40,TTC,10:22:00,ATMS-1,40,TTC,11:22:00,ATMS-1,50,TTC,12:22:00,ATMS-1,60,TTC,13:22:00,ATMS-1,70,TTC,14:22:00,ATMS-1,75,TTC
SENSEX,09:26:00,ATMS-1,40,TTC,10:24:00,ATMS-1,40,TTC,11:24:00,ATMS-1,50,TTC,12:24:00,ATMS-1,60,TTC,13:24:00,ATMS-1,70,TTC,14:24:00,ATMS-1,75,TTC
SENSEX,09:27:00,ATMS-1,40,TTC,10:26:00,ATMS-1,40,TTC,11:26:00,ATMS-1,50,TTC,12:26:00,ATMS-1,60,TTC,13:26:00,ATMS-1,70,TTC,14:26:00,ATMS-1,75,TTC
SENSEX,09:28:00,ATMS-1,40,TTC,10:28:00,ATMS-1,40,TTC,11:28:00,ATMS-1,50,TTC,12:28:00,ATMS-1,60,TTC,13:28:00,ATMS-1,70,TTC,14:28:00,ATMS-1,75,TTC
SENSEX,09:29:00,ATMS-1,40,TTC,10:30:00,ATMS-1,40,TTC,11:30:00,ATMS-1,50,TTC,12:30:00,ATMS-1,60,TTC,13:30:00,ATMS-1,70,TTC,14:30:00,ATMS-1,75,TTC
SENSEX,09:30:00,ATMS-1,40,TTC,10:32:00,ATMS-1,40,TTC,11:32:00,ATMS-1,50,TTC,12:32:00,ATMS-1,60,TTC,13:32:00,ATMS-1,70,TTC,14:32:00,ATMS-1,75,TTC
SENSEX,09:32:00,ATMS-1,40,TTC,10:34:00,ATMS-1,40,TTC,11:34:00,ATMS-1,50,TTC,12:34:00,ATMS-1,60,TTC,13:34:00,ATMS-1,70,TTC,14:34:00,ATMS-1,75,TTC
SENSEX,09:34:00,ATMS-1,40,TTC,10:36:00,ATMS-1,40,TTC,11:36:00,ATMS-1,50,TTC,12:36:00,ATMS-1,60,TTC,13:36:00,ATMS-1,70,TTC,14:36:00,ATMS-1,75,TTC
SENSEX,09:36:00,ATMS-1,40,TTC,10:38:00,ATMS-1,40,TTC,11:38:00,ATMS-1,50,TTC,12:38:00,ATMS-1,60,TTC,13:38:00,ATMS-1,70,TTC,14:38:00,ATMS-1,75,TTC
SENSEX,09:38:00,ATMS-1,40,TTC,10:40:00,ATMS-1,40,TTC,11:40:00,ATMS-1,50,TTC,12:40:00,ATMS-1,60,TTC,13:40:00,ATMS-1,70,TTC,14:40:00,ATMS-1,75,TTC
SENSEX,09:40:00,ATMS-1,40,TTC,10:42:00,ATMS-1,40,TTC,11:42:00,ATMS-1,50,TTC,12:42:00,ATMS-1,60,TTC,13:42:00,ATMS-1,70,TTC,14:42:00,ATMS-1,75,TTC
SENSEX,09:42:00,ATMS-1,40,TTC,10:44:00,ATMS-1,40,TTC,11:44:00,ATMS-1,50,TTC,12:44:00,ATMS-1,60,TTC,13:44:00,ATMS-1,70,TTC,14:44:00,ATMS-1,75,TTC
SENSEX,09:44:00,ATMS-1,40,TTC,10:46:00,ATMS-1,40,TTC,11:46:00,ATMS-1,50,TTC,12:46:00,ATMS-1,60,TTC,13:46:00,ATMS-1,70,TTC,14:46:00,ATMS-1,75,TTC
SENSEX,09:46:00,ATMS-1,40,TTC,10:48:00,ATMS-1,40,TTC,11:48:00,ATMS-1,50,TTC,12:48:00,ATMS-1,60,TTC,13:48:00,ATMS-1,70,TTC,14:48:00,ATMS-1,75,TTC
SENSEX,09:48:00,ATMS-1,40,TTC,10:50:00,ATMS-1,40,TTC,11:50:00,ATMS-1,50,TTC,12:50:00,ATMS-1,60,TTC,13:50:00,ATMS-1,70,TTC,14:50:00,ATMS-1,75,TTC
SENSEX,09:50:00,ATMS-1,40,TTC,10:52:00,ATMS-1,40,TTC,11:52:00,ATMS-1,50,TTC,12:52:00,ATMS-1,60,TTC,13:52:00,ATMS-1,70,TTC,14:52:00,ATMS-1,75,TTC
SENSEX,09:52:00,ATMS-1,40,TTC,10:54:00,ATMS-1,40,TTC,11:54:00,ATMS-1,50,TTC,12:54:00,ATMS-1,60,TTC,13:54:00,ATMS-1,70,TTC,14:54:00,ATMS-1,75,TTC
SENSEX,09:54:00,ATMS-1,40,TTC,10:56:00,ATMS-1,40,TTC,11:56:00,ATMS-1,50,TTC,12:56:00,ATMS-1,60,TTC,13:56:00,ATMS-1,70,TTC,14:56:00,ATMS-1,75,TTC
SENSEX,09:56:00,ATMS-1,40,TTC,10:58:00,ATMS-1,40,TTC,11:58:00,ATMS-1,50,TTC,12:58:00,ATMS-1,60,TTC,13:58:00,ATMS-1,70,TTC,14:58:00,ATMS-1,75,TTC
SENSEX,09:58:00,ATMS-1,40,TTC,11:00:00,ATMS-1,40,TTC,12:00:00,ATMS-1,50,TTC,13:00:00,ATMS-1,60,TTC,14:00:00,ATMS-1,70,TTC,15:00:00,ATMS-1,75,TTC
